married / was married,couple,any relation,respondent gender,couple gender,interracial couple,respondent age,partner age,education gap,couple salary gap,couple political stability,meeting interface,try app service,relation duration [year],relation quality
yes,yes,,Female,hetero couple,no,[70 -80],[70 -80],1.0,[Partner Name] earned more,6.0,meet through studies,,56.25,Excellent
yes,yes,,Male,hetero couple,no,[70 -80],[60 -70],3.0,I earned more,1.0,meet through work,no,41.17,Good
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],3.0,[Partner Name] earned more,5.0,meet through work,,20.75,Excellent
yes,yes,,Male,hetero couple,no,[40 -50],[40 -50],0.0,[Partner Name] earned more,6.0,,,12.42,Excellent
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],4.0,[Partner Name] earned more,5.0,meet through studies,,6.58,Excellent
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],0.0,[Partner Name] earned more,6.0,meet through friends,,21.58,Good
,yes,,Female,hetero couple,no,[50 -60],[50 -60],1.0,I earned more,6.0,meet through work,,10.92,Good
yes,yes,,Male,hetero couple,yes,[30 -40],[20 -30],1.0,I earned more,4.0,meet in neighborhood,,12.58,Excellent
yes,yes,,Male,hetero couple,no,[70 -80],[60 -70],0.0,I earned more,5.0,meet through work,,45.67,Excellent
yes,yes,,Female,hetero couple,yes,[40 -50],[40 -50],0.0,[Partner Name] earned more,2.0,meet through studies,,26.58,Good
yes,yes,,Male,hetero couple,no,[60 -70],[50 -60],3.0,I earned more,5.0,meet through work,,22.42,Good
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],0.0,[Partner Name] was not working for pay,5.0,meet through friends,no,37.67,Excellent
yes,yes,,Male,hetero couple,no,[30 -40],[40 -50],1.0,I earned more,6.0,meet through work,,15.5,Excellent
,yes,,Female,hetero couple,no,[60 -70],[60 -70],2.0,[Partner Name] earned more,5.0,meet through internet,,16.58,Good
yes,yes,,Male,hetero couple,no,[50 -60],[40 -50],2.0,We earned about the same amount,4.0,meet through work,,18.25,Excellent
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],1.0,[Partner Name] was not working for pay,2.0,,,15.75,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],1.0,I earned more,6.0,meet through studies,,38.83,Excellent
,yes,,Male,hetero couple,no,[50 -60],[50 -60],0.0,[Partner Name] was not working for pay,4.0,meet through studies,,4.67,Excellent
yes,yes,,Female,hetero couple,no,[70 -80],[70 -80],3.0,I earned more,5.0,,,53.0,Excellent
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],0.0,[Partner Name] earned more,5.0,meet through studies,,47.67,Good
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],1.0,I earned more,6.0,meet through studies,,48.58,Excellent
,yes,,Male,hetero couple,no,[30 -40],[20 -30],4.0,We earned about the same amount,6.0,meet through studies,,13.17,Excellent
,yes,,Male,hetero couple,yes,[20 -30],[20 -30],0.0,We earned about the same amount,3.0,meet through work,,4.08,Excellent
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],3.0,I earned more,6.0,meet through friends,,30.0,Excellent
yes,yes,,Male,hetero couple,yes,[70 -80],[60 -70],1.0,We earned about the same amount,6.0,meet in neighborhood,,38.92,Excellent
yes,yes,,Female,hetero couple,yes,[20 -30],[20 -30],0.0,I earned more,6.0,meet through work,,9.25,Excellent
yes,yes,,Male,hetero couple,no,[20 -30],[20 -30],1.0,We earned about the same amount,4.0,,,,Excellent
no,no,yes,Male,hetero couple,no,[70 -80],[60 -70],2.0,I earned more,4.0,meet through work,,0.58,
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],4.0,[Partner Name] earned more,6.0,meet through friends,,17.08,Good
,yes,,Male,gay male couple,yes,[30 -40],[40 -50],0.0,[Partner Name] earned more,5.0,,,1.25,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],2.0,I earned more,4.0,,,9.25,Good
yes,yes,,Female,hetero couple,no,[70 -80],[70 -80],5.0,[Partner Name] earned more,6.0,meet through friends,,60.0,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],4.0,I earned more,3.0,meet through family,,35.33,Good
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],0.0,[Partner Name] earned more,5.0,meet through friends,,21.33,Good
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],6.0,We earned about the same amount,6.0,meet through work,,21.25,Excellent
,yes,,Female,hetero couple,no,[50 -60],[30 -40],1.0,[Partner Name] earned more,5.0,,yes,0.17,Fair
yes,yes,,Male,hetero couple,yes,[60 -70],[60 -70],7.0,I earned more,6.0,meet through work,,44.25,Excellent
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],2.0,[Partner Name] earned more,6.0,meet through family,,20.67,Good
,yes,,Male,hetero couple,no,[50 -60],[50 -60],1.0,[Partner Name] earned more,6.0,meet through internet,,1.0,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],4.0,[Partner Name] earned more,6.0,meet through family,,26.58,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[40 -50],2.0,[Partner Name] earned more,1.0,meet through work,,6.75,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[40 -50],2.0,I earned more,5.0,,yes,26.58,Fair
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],1.0,[Partner Name] earned more,6.0,,,11.33,Excellent
yes,yes,,Male,hetero couple,no,[40 -50],[40 -50],3.0,I earned more,6.0,meet through friends,,25.33,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],0.0,I earned more,4.0,meet through work,,10.67,Excellent
no,no,yes,Female,lesbian couple,no,[60 -70],[60 -70],2.0,[Partner Name] was not working for pay,6.0,meet through friends,,6.67,
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],2.0,I earned more,5.0,,,11.5,Excellent
yes,yes,,Male,hetero couple,no,[40 -50],[40 -50],0.0,I earned more,6.0,meet through work,,20.08,Fair
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],0.0,I earned more,5.0,meet through studies,no,38.33,Poor
yes,yes,,Male,hetero couple,yes,[40 -50],[30 -40],0.0,I earned more,4.0,meet through family,,5.83,Good
,,,Female,,,[50 -60],,,,,,,,
yes,yes,,Female,hetero couple,no,[50 -60],[60 -70],4.0,[Partner Name] earned more,6.0,,,,Excellent
,no,no,Female,,,[10 -20],,,,,,,,
yes,yes,,Female,hetero couple,no,[60 -70],[30 -40],4.0,[Partner Name] earned more,4.0,meet through friends,,,Good
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],0.0,I earned more,0.0,meet in neighborhood,,10.08,Excellent
yes,yes,,Male,hetero couple,no,[70 -80],[70 -80],3.0,We earned about the same amount,4.0,,,50.83,Excellent
,no,no,Male,,,[40 -50],,,,,,,,
no,no,yes,Male,hetero couple,no,[40 -50],,0.0,I earned more,4.0,meet through internet,,0.0,
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],4.0,[Partner Name] earned more,5.0,meet through work,,35.92,Excellent
yes,no,yes,Female,hetero couple,no,[70 -80],[80 -90],0.0,I earned more,4.0,meet through work,,,
no,no,yes,Male,hetero couple,no,[20 -30],[20 -30],0.0,We earned about the same amount,4.0,meet through internet,,0.17,
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],0.0,[Partner Name] earned more,0.0,meet through studies,,53.83,Excellent
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],4.0,[Partner Name] earned more,5.0,meet through internet,,13.17,Good
no,no,yes,Male,hetero couple,no,[60 -70],[40 -50],1.0,[Partner Name] earned more,6.0,meet through family,,3.17,
yes,yes,,Male,hetero couple,no,[70 -80],[60 -70],0.0,[Partner Name] earned more,5.0,,,39.67,Excellent
,no,no,Female,,,[10 -20],,,,,,,,
yes,yes,,Female,hetero couple,no,[80 -90],[80 -90],1.0,[Partner Name] earned more,4.0,meet through friends,,61.67,Excellent
no,no,yes,Male,hetero couple,no,[50 -60],[30 -40],2.0,I earned more,2.0,,,1.42,
yes,yes,,Female,lesbian couple,no,[50 -60],[50 -60],3.0,I earned more,4.0,meet through studies,,36.5,Excellent
yes,no,yes,Female,hetero couple,no,[70 -80],[70 -80],0.0,[Partner Name] was not working for pay,5.0,,,,
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],4.0,[Partner Name] earned more,5.0,meet through studies,,,Excellent
,yes,,Female,hetero couple,no,[50 -60],[60 -70],1.0,[Partner Name] was not working for pay,3.0,meet through family,,42.25,Good
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],2.0,[Partner Name] earned more,2.0,meet through friends,,41.92,Excellent
yes,yes,,Male,hetero couple,no,[70 -80],[60 -70],2.5,I earned more,4.0,,,27.08,Excellent
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],1.0,[Partner Name] earned more,6.0,meet through work,,39.0,Fair
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],6.5,[Partner Name] earned more,4.0,meet through family,,17.08,Fair
,no,no,Male,,,[20 -30],,,,,,,,
yes,yes,,Male,hetero couple,yes,[40 -50],[40 -50],2.0,[Partner Name] earned more,5.0,meet through work,,15.92,Good
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],0.0,[Partner Name] earned more,4.0,,,36.17,Excellent
yes,yes,,Male,hetero couple,yes,[50 -60],[50 -60],0.0,[Partner Name] earned more,1.0,meet in neighborhood,yes,36.08,Excellent
yes,yes,,Male,hetero couple,yes,[50 -60],[50 -60],0.0,I earned more,6.0,meet through studies,,33.75,Excellent
yes,yes,,Male,hetero couple,no,[40 -50],[40 -50],0.0,[Partner Name] earned more,5.0,meet through studies,,22.42,Good
,yes,,Male,hetero couple,no,[40 -50],[30 -40],2.0,Refused,1.0,meet through friends,,0.5,Good
yes,yes,,Male,hetero couple,no,[70 -80],[60 -70],1.0,I earned more,6.0,,,18.0,Excellent
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],3.0,[Partner Name] earned more,2.0,meet through friends,,7.0,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[40 -50],5.0,[Partner Name] earned more,6.0,meet through friends,,27.17,Excellent
,yes,,Female,hetero couple,no,[20 -30],[20 -30],1.0,[Partner Name] was not working for pay,5.0,meet through studies,,0.25,Good
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],0.0,I earned more,6.0,meet through studies,,35.17,Excellent
,yes,,Female,lesbian couple,no,[20 -30],[40 -50],1.0,[Partner Name] was not working for pay,6.0,meet through internet,,1.08,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],7.0,[Partner Name] was not working for pay,6.0,meet through studies,,46.83,Excellent
,yes,,Female,hetero couple,no,[30 -40],[30 -40],0.0,[Partner Name] earned more,6.0,,,0.08,Good
yes,yes,,Female,hetero couple,no,[30 -40],[30 -40],1.0,[Partner Name] earned more,4.0,meet through friends,,16.42,Excellent
,yes,,Female,hetero couple,yes,[10 -20],[20 -30],0.0,[Partner Name] earned more,2.0,meet through studies,,2.58,Good
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],0.0,We earned about the same amount,4.0,,,16.0,Excellent
yes,no,yes,Female,hetero couple,no,[40 -50],[40 -50],0.0,[Partner Name] earned more,5.0,,,,
no,no,yes,Male,gay male couple,yes,[80 -90],[80 -90],7.0,I earned more,3.0,,,11.0,
yes,yes,,Female,hetero couple,no,[80 -90],[90 -100],0.0,[Partner Name] was not working for pay,6.0,meet in neighborhood,,49.25,Excellent
,yes,,Male,hetero couple,no,[50 -60],[40 -50],2.0,I earned more,4.0,,no,18.25,Good
yes,no,yes,Female,hetero couple,no,[60 -70],[60 -70],0.0,I earned more,5.0,meet through friends,,,
,yes,,Male,hetero couple,no,[10 -20],[10 -20],2.0,[Partner Name] was not working for pay,4.0,meet through studies,no,0.0,Fair
,no,no,Male,,,[10 -20],,,,,,,,
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],1.0,I earned more,5.0,meet through work,,33.0,Excellent
no,no,yes,Male,hetero couple,no,[50 -60],[50 -60],2.0,[Partner Name] was not working for pay,2.0,meet through internet,no,6.92,
,yes,,Female,hetero couple,no,[70 -80],[70 -80],0.0,We earned about the same amount,5.0,meet through internet,,0.25,Good
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],0.0,I earned more,5.0,meet through friends,,14.08,Excellent
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],1.0,I earned more,3.0,meet through work,,14.67,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],4.0,We earned about the same amount,5.0,,,33.92,Excellent
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],2.0,[Partner Name] earned more,6.0,,,7.33,Excellent
yes,yes,,Female,hetero couple,no,[50 -60],[60 -70],0.0,[Partner Name] earned more,4.0,meet through friends,,29.83,Good
,yes,,Male,hetero couple,no,[20 -30],[10 -20],0.0,[Partner Name] was not working for pay,5.0,meet through friends,no,0.17,Good
,yes,,Female,hetero couple,no,[30 -40],[30 -40],0.0,I earned more,5.0,meet through friends,no,4.0,Excellent
no,no,yes,Male,hetero couple,yes,[20 -30],[20 -30],0.0,I earned more,3.0,meet through studies,,0.5,
no,no,yes,Male,hetero couple,no,[20 -30],[20 -30],3.0,I earned more,5.0,meet through friends,,0.0,
yes,yes,,Male,hetero couple,no,[70 -80],[60 -70],1.0,I earned more,5.0,,no,40.58,Very Poor
,yes,,Female,hetero couple,yes,[20 -30],[20 -30],0.0,[Partner Name] earned more,5.0,meet through studies,,2.17,Excellent
,yes,,Male,hetero couple,yes,[60 -70],[60 -70],7.0,[Partner Name] earned more,6.0,meet through internet,,2.75,Good
yes,no,yes,Female,hetero couple,yes,[20 -30],[20 -30],1.0,We earned about the same amount,5.0,meet through work,,,
yes,yes,,Male,hetero couple,no,[70 -80],[70 -80],0.0,I earned more,6.0,meet through work,,52.5,Excellent
no,no,yes,Male,hetero couple,no,[40 -50],[20 -30],0.0,I earned more,5.0,,,2.75,
yes,yes,,Female,hetero couple,no,[30 -40],[50 -60],2.0,[Partner Name] earned more,6.0,meet through friends,,21.5,Excellent
yes,yes,,Male,hetero couple,,[70 -80],[70 -80],3.0,I earned more,6.0,,,42.42,Excellent
,yes,,Male,hetero couple,no,[40 -50],[30 -40],0.0,[Partner Name] earned more,6.0,meet through friends,,1.42,Fair
no,no,yes,Female,hetero couple,no,[40 -50],[50 -60],7.0,We earned about the same amount,0.0,meet through internet,no,,
,yes,,Male,hetero couple,no,[20 -30],[20 -30],0.0,I earned more,3.0,meet through studies,,9.17,Good
yes,yes,,Male,hetero couple,no,[60 -70],[50 -60],0.0,I earned more,6.0,meet through friends,,30.25,Excellent
yes,yes,,Female,hetero couple,yes,[60 -70],[70 -80],5.0,I earned more,4.0,meet in neighborhood,,43.33,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[50 -60],1.0,I earned more,6.0,,,38.17,Excellent
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],1.0,I earned more,6.0,,,12.5,Excellent
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],3.0,[Partner Name] earned more,6.0,meet through work,,28.0,Excellent
,yes,,Male,hetero couple,no,[50 -60],[50 -60],0.0,I earned more,5.0,,,5.42,Good
yes,yes,,Male,gay male couple,no,[40 -50],[30 -40],0.0,I earned more,6.0,meet through internet,,7.25,Excellent
yes,yes,,Male,hetero couple,no,[40 -50],[40 -50],4.0,I earned more,4.0,meet through friends,,26.42,Excellent
yes,yes,,Male,hetero couple,no,[80 -90],[80 -90],1.0,I earned more,4.0,,,56.58,Excellent
yes,yes,,Female,hetero couple,no,[70 -80],[70 -80],1.0,We earned about the same amount,5.0,meet through studies,,57.83,Excellent
yes,yes,,Male,hetero couple,yes,[50 -60],[50 -60],2.0,[Partner Name] earned more,6.0,meet through friends,,25.67,Excellent
,yes,,Female,hetero couple,no,[30 -40],[20 -30],0.0,I earned more,4.0,meet through friends,,0.92,Excellent
yes,yes,,Female,hetero couple,no,[50 -60],[60 -70],1.0,[Partner Name] earned more,6.0,meet through work,,24.17,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],0.0,We earned about the same amount,4.0,meet through friends,,43.83,Good
yes,yes,,Male,hetero couple,no,[60 -70],[50 -60],2.0,I earned more,6.0,meet through friends,,32.5,Excellent
yes,yes,,Male,hetero couple,no,[80 -90],[80 -90],0.0,I earned more,6.0,meet through friends,,68.0,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],2.0,[Partner Name] earned more,5.0,meet through friends,,38.08,Excellent
no,no,yes,Male,hetero couple,yes,[40 -50],[50 -60],0.0,[Partner Name] earned more,6.0,,,3.33,
,yes,,Female,hetero couple,no,[20 -30],[20 -30],3.0,[Partner Name] earned more,2.0,meet through internet,no,0.42,Good
,yes,,Male,gay male couple,no,[80 -90],[40 -50],0.0,I earned more,5.0,,,11.83,Good
,yes,,Female,hetero couple,no,[20 -30],[20 -30],2.0,We earned about the same amount,0.0,,yes,0.33,Good
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],1.0,[Partner Name] earned more,4.0,meet through work,,35.17,Excellent
yes,no,yes,Female,hetero couple,no,[70 -80],[60 -70],4.0,[Partner Name] earned more,4.0,meet in neighborhood,,,
yes,yes,,Male,hetero couple,yes,[30 -40],[30 -40],0.0,[Partner Name] earned more,5.0,meet through studies,,11.58,Good
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],4.0,I earned more,6.0,,,5.67,Excellent
yes,yes,,Female,hetero couple,no,[60 -70],[70 -80],2.0,[Partner Name] was not working for pay,6.0,meet through studies,,53.75,Excellent
yes,yes,,Male,hetero couple,yes,[50 -60],[40 -50],0.0,I earned more,4.0,,,23.08,Poor
,yes,,Female,hetero couple,no,[30 -40],[40 -50],4.0,[Partner Name] earned more,5.0,,,5.83,Good
yes,yes,,Female,hetero couple,no,[70 -80],[70 -80],3.0,[Partner Name] earned more,6.0,,,50.83,Excellent
yes,yes,,Female,hetero couple,no,[70 -80],[70 -80],0.0,I earned more,6.0,,,57.08,Excellent
yes,yes,,Female,hetero couple,no,[30 -40],[40 -50],2.0,[Partner Name] earned more,6.0,meet through internet,,16.83,Good
yes,no,yes,Female,hetero couple,no,[60 -70],[60 -70],3.0,[Partner Name] earned more,4.0,meet through studies,,,
yes,yes,,Male,gay male couple,no,[50 -60],[40 -50],2.0,I earned more,5.0,meet through friends,,4.75,Good
yes,yes,,Female,hetero couple,yes,[30 -40],[40 -50],1.0,We earned about the same amount,5.0,meet through studies,,19.17,Good
yes,yes,,Male,hetero couple,no,[50 -60],[60 -70],0.0,I earned more,6.0,meet through work,,19.33,Excellent
yes,yes,,Female,hetero couple,no,[20 -30],[20 -30],1.0,[Partner Name] earned more,4.0,,,5.75,Excellent
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],1.0,[Partner Name] earned more,5.0,meet through work,,32.08,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],0.0,I earned more,4.0,meet through friends,,37.0,Excellent
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],6.0,[Partner Name] earned more,6.0,meet through friends,,48.75,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[50 -60],3.0,[Partner Name] earned more,5.0,meet through friends,,38.83,Excellent
,yes,,Female,lesbian couple,no,[70 -80],[70 -80],0.0,We earned about the same amount,6.0,meet through friends,,31.75,Good
no,no,yes,Female,hetero couple,no,[40 -50],[40 -50],1.0,[Partner Name] earned more,4.0,meet through internet,,0.83,
,yes,,Female,hetero couple,yes,[50 -60],[50 -60],3.0,I earned more,6.0,,,15.42,Good
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],0.0,We earned about the same amount,4.0,meet through studies,no,16.67,Good
yes,yes,,Male,hetero couple,no,[40 -50],[40 -50],4.0,[Partner Name] earned more,6.0,,,26.75,Excellent
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],4.0,I earned more,5.0,meet through work,,10.0,Excellent
yes,yes,,Female,hetero couple,no,[80 -90],[80 -90],4.0,[Partner Name] was not working for pay,4.0,meet through work,,40.5,Excellent
yes,yes,,Male,hetero couple,no,[20 -30],[20 -30],1.0,I earned more,6.0,meet through internet,,10.0,Excellent
,yes,,Female,hetero couple,no,[50 -60],[50 -60],0.0,[Partner Name] earned more,2.0,meet through internet,,8.33,Excellent
,no,no,Female,,,[10 -20],,,,,,,,
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],0.0,[Partner Name] earned more,4.0,meet through work,,35.0,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[40 -50],4.0,I earned more,5.0,meet through internet,,15.08,Good
no,no,yes,Female,hetero couple,yes,[60 -70],,4.0,We earned about the same amount,,,,0.58,
no,no,yes,Male,gay male couple,no,[30 -40],[40 -50],2.0,[Partner Name] earned more,5.0,meet through internet,no,0.33,
yes,yes,,Female,hetero couple,no,[30 -40],[30 -40],0.0,[Partner Name] earned more,6.0,,,12.5,Excellent
yes,yes,,Female,hetero couple,no,[50 -60],[50 -60],3.0,I earned more,5.0,meet through studies,,40.5,Good
,yes,,Female,hetero couple,no,[20 -30],[20 -30],4.0,I earned more,3.0,meet through internet,no,0.17,Very Poor
,yes,,Female,hetero couple,no,[50 -60],[50 -60],1.0,We earned about the same amount,5.0,meet in neighborhood,no,20.92,Good
,,,Male,,,[70 -80],,,,,,,,
,yes,,Female,lesbian couple,yes,[40 -50],[40 -50],1.0,[Partner Name] earned more,4.0,meet through internet,,0.67,Excellent
,yes,,Female,hetero couple,no,[10 -20],[10 -20],1.0,We earned about the same amount,5.0,meet through studies,no,0.25,Excellent
yes,yes,,Female,hetero couple,no,[40 -50],[50 -60],1.0,[Partner Name] was not working for pay,5.0,,,19.75,Excellent
yes,yes,,Female,hetero couple,no,[40 -50],[40 -50],2.0,[Partner Name] earned more,5.0,,,19.17,Good
,yes,,Female,hetero couple,yes,[30 -40],[30 -40],0.0,I earned more,3.0,meet through studies,,3.42,Excellent
yes,yes,,Male,hetero couple,no,[20 -30],,11.5,We earned about the same amount,5.0,,,,Poor
yes,yes,,Female,hetero couple,no,[20 -30],[20 -30],0.0,[Partner Name] earned more,4.0,meet through studies,,7.92,Good
yes,yes,,Male,hetero couple,no,[40 -50],[50 -60],1.0,[Partner Name] earned more,5.0,meet through work,no,22.17,Poor
yes,yes,,Female,hetero couple,no,[20 -30],[20 -30],0.0,[Partner Name] earned more,4.0,meet through work,,4.58,Excellent
yes,no,yes,Male,hetero couple,no,[50 -60],[50 -60],2.0,I earned more,5.0,meet through friends,,,
,no,no,Female,,,[70 -80],,,,,,,,
yes,yes,,Female,hetero couple,no,[60 -70],[60 -70],2.0,[Partner Name] was not working for pay,6.0,meet through studies,,51.08,Excellent
,yes,,Male,hetero couple,yes,[50 -60],[40 -50],1.0,We earned about the same amount,4.0,,,5.17,Good
yes,yes,,Male,hetero couple,no,[70 -80],,0.0,I earned more,4.0,meet through work,,51.08,Excellent
yes,yes,,Female,hetero couple,yes,[70 -80],[80 -90],1.0,I earned more,6.0,,,50.33,Good
,yes,,Female,hetero couple,no,[50 -60],[50 -60],1.0,[Partner Name] earned more,2.0,meet through work,,1.08,Excellent
,yes,,Male,hetero couple,no,[30 -40],[20 -30],3.0,We earned about the same amount,4.0,meet through internet,,7.92,Excellent
,yes,,Female,hetero couple,no,[70 -80],[70 -80],0.0,[Partner Name] was not working for pay,4.0,meet in neighborhood,,51.58,Excellent
yes,yes,,Female,lesbian couple,no,[60 -70],[60 -70],1.0,I earned more,6.0,meet through work,,29.08,Excellent
,yes,,Male,hetero couple,no,[50 -60],[60 -70],2.0,[Partner Name] earned more,3.0,meet through internet,,,Excellent
yes,yes,,Male,gay male couple,no,[40 -50],[40 -50],3.0,I earned more,5.0,meet through work,,4.75,Good
yes,yes,,Female,hetero couple,no,[30 -40],[30 -40],7.0,I earned more,4.0,meet through studies,,9.33,Good
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],1.0,I earned more,5.0,,no,15.0,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],2.0,[Partner Name] earned more,6.0,meet through friends,,33.83,Excellent
yes,yes,,Male,hetero couple,no,[70 -80],[60 -70],3.0,[Partner Name] earned more,5.0,meet through internet,,7.75,Excellent
yes,yes,,Female,hetero couple,no,[50 -60],[40 -50],2.0,[Partner Name] earned more,3.0,meet through family,no,26.75,Poor
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],1.0,We earned about the same amount,4.0,,,9.58,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[50 -60],1.0,I earned more,6.0,meet through studies,,32.33,Excellent
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],1.0,I earned more,5.0,,,10.42,Excellent
yes,yes,,Male,hetero couple,no,[90 -100],[80 -90],6.0,I earned more,6.0,,,48.83,Excellent
,yes,,Male,hetero couple,no,[40 -50],[40 -50],1.0,I earned more,3.0,meet through internet,no,0.25,Good
yes,yes,,Female,hetero couple,no,[70 -80],[60 -70],0.0,We earned about the same amount,5.0,meet through work,,31.42,Very Poor
yes,no,yes,Female,hetero couple,no,[60 -70],[60 -70],1.0,[Partner Name] earned more,0.0,,,,
,no,no,Male,,,[20 -30],,,,,,,,
yes,yes,,Male,hetero couple,no,[50 -60],[40 -50],0.0,I earned more,5.0,meet through work,,21.42,Excellent
yes,yes,,Male,hetero couple,yes,[50 -60],[60 -70],0.0,I earned more,2.0,meet through family,,31.5,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[50 -60],1.0,I earned more,5.0,meet through work,,28.33,Excellent
no,no,yes,Female,hetero couple,no,[30 -40],[50 -60],0.0,We earned about the same amount,6.0,meet through work,yes,0.25,
,no,no,Male,,,[20 -30],,,,,,,,
yes,yes,,Male,hetero couple,no,[50 -60],[60 -70],1.0,We earned about the same amount,5.0,meet through work,,40.42,Excellent
yes,yes,,Female,hetero couple,yes,[30 -40],[40 -50],3.0,We earned about the same amount,2.0,meet through work,,8.08,Fair
yes,yes,,Female,lesbian couple,no,[50 -60],[70 -80],4.0,I earned more,6.0,meet through friends,,23.83,Good
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],1.0,I earned more,6.0,,,45.75,Excellent
yes,yes,,Male,hetero couple,no,[30 -40],[30 -40],0.0,We earned about the same amount,5.0,,,11.75,Good
no,no,yes,Female,hetero couple,no,[60 -70],[60 -70],1.0,[Partner Name] earned more,5.0,meet through friends,,11.42,
,yes,,Female,hetero couple,no,[20 -30],[40 -50],3.0,[Partner Name] earned more,1.0,meet in neighborhood,no,0.33,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],1.0,I earned more,6.0,meet through studies,,46.08,Excellent
,no,no,Female,,,[10 -20],,,,,,,,
yes,yes,,Male,hetero couple,yes,[50 -60],[50 -60],0.0,I earned more,5.0,,,24.67,Excellent
yes,yes,,Male,hetero couple,no,[60 -70],[60 -70],4.0,I earned more,4.0,meet through studies,,47.83,Excellent
yes,yes,,Male,hetero couple,no,[50 -60],[60 -70],1.0,I earned more,6.0,meet through work,,27.67,Excellent
,yes,,Male,hetero couple,yes,[30 -40],[20 -30],1.0,[Partner Name] earned more,4.0,,,2.33,Excellent
no,no,yes,Female,hetero couple,no,[60 -70],[60 -70],2.0,I earned more,5.0,,,6.0,
yes,yes,,Male,hetero couple,no,[70 -80],[70 -80],3.0,[Partner Name] earned more,2.0,meet through family,,,Excellent
yes,no,yes,Male,hetero couple,no,[50 -60],[50 -60],0.0,[Partner Name] earned more,4.0,meet through friends,,,
yes,yes,,Male,hetero couple,no,[40 -50],[30 -40],1.0,We earned about the same amount,6.0,meet through work,,19.58,Excellent
yes,yes,,Male,hetero couple,no,[40 -50],[40 -50],0.0,I earned more,4.0,meet through friends,,19.33,Excellent
